rank,price_eur,predicted_fair_price,discount_eur,discount_pct,sale_prob_14d,deal_score,model_number_v2,variant,mileage_km,vehicle_age_months,power_kw,electric_range_km,city,seller_name,seller_type,is_s_line,is_quattro,has_matrix,had_accident_clean,listing_url,title
16,49045,50982.20255933181,1937.0,3.8,0.5301916,1027.0,45,Q4 e-tron,10,1.0,210.0,464,Osnabrück,MFH Mehrmarken-Fahrzeughandel / Osna-Autos,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-eb820eba-038d-41ea-8e7f-e0dc82e4cf34,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat..."
17,38990,40635.9059936261,1646.0,4.1,0.61493206,1012.0,45,Q4 e-tron Sportback,19000,17.0,210.0,315,Niebüll,Autohaus Kornkoog GmbH & Co. KG,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-sportback-s-line-e-tron-77kwh-matrix-navi-electric-grey-d5241e85-0f6f-4c15-a0c4-13a8436b167c,Audi Q4 e-tron Q4 45 Sportback S-Line e-tron 77kWh Matrix Navi
18,47995,49670.03082371274,1675.0,3.4,0.5977452,1001.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-grey-e1271860-3626-4160-9932-effacd6d9828,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ..."
19,41980,43452.68390819237,1473.0,3.4,0.6637584,978.0,55,Q4 e-tron,11036,26.0,250.0,495,Neumarkt,Fischer Automobile GmbH,Dealer,False,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-quattro-leder-rfk-20-assi-plus-electric-silver-ca6a1918-85b6-43c1-a27a-efe6ea3de37f,Audi Q4 e-tron 55 quattro Leder/RFK/20''/Assi-Plus
20,29930,31533.80080606942,1604.0,5.1,0.56819147,911.0,40,Q4 e-tron,39600,37.0,150.0,447,Heilbronn,ASW Automobile GmbH & Co. KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-led-navi-pdc-shz-tempomat-electric-black-2192c8a0-66cb-4296-b201-9ec3ef59f9dc,Audi Q4 e-tron Q4 40 e-tron LED Navi PDC SHZ Tempomat
21,48890,49962.07094822117,1072.0,2.1,0.8193416,878.0,55,Q4 e-tron,12450,26.0,250.0,486,Roth,Feser Joachim Automobil GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-2x-s-line-ahk-pano-360-waermepumpe-electric-white-e2351159-baba-47ee-8b60-71e035cc7177,Audi Q4 e-tron 55 qu 2x S line AHK PANO 360° WÄRMEPUMPE
22,43980,45040.16464221371,1060.0,2.4,0.75945663,805.0,55,Q4 e-tron,7904,14.0,250.0,514,Neumarkt,Fischer Automobile GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-w-pumpe-ahk-vorb-pdc-gra-electric-grey-256b75f5-8ae2-4d25-aff0-cf82b2c0c4df,Audi Q4 e-tron 55 qu. W-Pumpe/AHK-Vorb./PDC+/GRA
23,48995,50196.09343610963,1201.0,2.4,0.66548085,799.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-side-kamera-electric-black-9301f90f-d5f3-4d5d-bc6e-e40a7c0ed243,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Side, Kamera"
24,43929,45105.754070716226,1177.0,2.6,0.6471619,762.0,45,Q4 e-tron,6291,10.0,210.0,456,München,Audi München GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-ahk-assistenz-electric-grey-bc885c3c-7bd7-4c2a-aadd-b923cf799d10,Audi Q4 e-tron 45 S line AHK/Assistenz
25,42210,43671.4646545436,1461.0,3.3,0.52155596,762.0,45,Q4 e-tron,8053,9.0,210.0,456,Mülheim a. d. Ruhr,Gottfried Schultz Automobilhandels SE,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-electric-grey-b2acc54e-2d70-432b-af58-b376e96e0305,Audi Q4 e-tron 45 basis
26,24790,25792.502420146273,1003.0,3.9,0.7321908,734.0,35,Q4 e-tron,47000,38.0,125.0,306,Finnentrop,Auerswald Automobile,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-35-led-standheizung-pdc-dab-navi-electric-black-a0e26ef2-4919-4417-8262-1ac7503eb3e5,Audi Q4 e-tron 35 *LED *Standheizung *PDC *DAB *Navi
27,37990,39011.6747106388,1022.0,2.6,0.7071666,723.0,,Q4 e-tron,0,,150.0,429,Mühldorf am Inn,Autohaus Ostermaier GmbH,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-mit-eroberung-bev-sitzhg-navi-electric-grey-d978c86f-bc48-4150-96f0-fcbe666f9ee8,"Audi Q4 e-tron Q4 SUV (mit Eroberung BEV) SITZHG,NAVI"
28,37990,39011.6747106388,1022.0,2.6,0.7071666,723.0,,Q4 e-tron,0,,150.0,429,Mühldorf am Inn,Autohaus Ostermaier GmbH,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-suv-mit-eroberung-bev-sitzhg-navi-electric-grey-c7b5b3d1-e639-4786-ae77-e3634b48c2ba,"Audi Q4 e-tron SUV (mit Eroberung BEV) SITZHG,NAVI"
29,34530,35550.54866263093,1021.0,2.9,0.69695455,712.0,45,Q4 e-tron,17782,31.0,195.0,412,Ulm,Audi Zentrum Ulm Gebrauchtwagen,Dealer,False,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-quattro-kam-led-navi-shz-electric-grey-b040c872-37c6-4315-9620-c1fe08724e9b,Audi Q4 e-tron Q4 45 e-tron quattro KAM LED NAVI+ SHZ
30,38990,40159.30768858103,1169.0,2.9,0.59237945,692.0,45,Q4 e-tron,29000,19.0,210.0,517,Niebüll,Autohaus Kornkoog GmbH & Co. KG,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-s-line-77-kwh-matrix-navi-led-klima-electric-black-af581301-d60e-4a0a-9029-d8167da482f8,Audi Q4 e-tron Q4 45 e-tron S-Line 77 kWh Matrix Navi LED Klima
31,27420,28651.676468511647,1232.0,4.3,0.5584007,688.0,40,Q4 e-tron,48225,38.0,150.0,498,Darmstadt,Autohaus J. Wiest+Söhne GmbH,Dealer,False,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-matrix-gra-klima-sportsitze-electric-grey-e0a057c5-7bd1-42e5-a3bf-c5d1fe2c68a2,"Audi Q4 e-tron 40, MATRIX/GRA/KLIMA/SPORTSITZE"
32,47990,49131.964289893,1142.0,2.3,0.57046455,651.0,45,Q4 e-tron,9077,9.0,210.0,475,Oberursel,Audi Zentrum Bad Homburg/Oberursel,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-ar-hud-matrix-virt-electric-grey-57797125-79f7-4c3a-829e-1d971b82edc0,Audi Q4 e-tron 45 S line*AR-HUD*Matrix*Virt
33,40920,41807.56852388004,888.0,2.1,0.7308796,649.0,45,Q4 e-tron Sportback,24619,28.0,210.0,475,Böblingen-Hulb,Audi Stuttgart GmbH,Dealer,False,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-matrix-led-ahk-kamera-19-electric-violet-d60695f3-e314-4ad8-a288-767ffcd97c46,Audi Q4 e-tron Sportback 45 Matrix LED AHK Kamera 19'
34,28988,29767.471613834492,779.0,2.6,0.8295025,646.0,40,Q4 e-tron Sportback,72977,39.0,150.0,466,Leverkusen,Automobil Zentrum Leverkusen GmbH & Co. KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-acc-navi-kam-sonos-pdc-electric-grey-928b39de-169f-4f4e-bae5-f8b7c97655c2,Audi Q4 e-tron 40 ACC NAVI KAM SONOS PDC
35,48995,49922.55501614359,928.0,1.9,0.6806734,632.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-black-8084102c-0851-4833-80da-59266d54a56d,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ..."
36,27380,28175.07725636399,795.0,2.8,0.7827429,622.0,,Q4 e-tron Sportback,57149,56.0,150.0,479,Gersthofen,Schwaba Gebrauchtwagenzentrum,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-e1967086-20ae-4fe3-9d7e-8ec4605b751d,Audi Q4 e-tron .
37,48995,49912.39620660427,917.0,1.8,0.66626745,611.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-side-kamera-electric-black-e5f2fff8-5cd7-4486-83d5-78ac51642220,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Side, Kamera"
38,36490,37686.99328569032,1197.0,3.2,0.500856,600.0,,Q4 e-tron,0,,150.0,407,Düsseldorf,Autohaus Adelbert Moll GmbH & Co. KG,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-grey-8722038f-6aca-442b-9767-6eff5a58d1f0,Audi Q4 e-tron Q4 SUV e-tron
39,36490,37686.99328569032,1197.0,3.2,0.500856,600.0,,Q4 e-tron,0,,150.0,407,Düsseldorf,Autohaus Adelbert Moll GmbH & Co. KG,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-electric-grey-c7763a36-eb14-4bc5-8b30-a279eeb9512d,Audi Q4 e-tron Q4 SUV e-tron
40,47480,48143.355483724925,663.0,1.4,0.90152496,598.0,55,Q4 e-tron,15100,28.0,250.0,492,Roth,Feser Joachim Automobil GmbH,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-2x-s-line-ahk-matrix-360-waermepumpe-electric-blue-3b8af93d-3df5-497c-82bf-583e8d5a45b2,Audi Q4 e-tron 55 qu 2x S line AHK MATRIX 360° WÄRMEPUMPE
41,36490,37306.10262894391,816.0,2.2,0.7157303,584.0,45,Q4 e-tron,48691,38.0,195.0,412,Potsdam,Audi Zentrum Potsdam,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-s-line-45-quattro-matrix-pano-acc-a-electric-blue-5e239b7a-4001-4ddd-a84c-447f37d94879,Audi Q4 e-tron S line 45 quattro MATRIX PANO ACC A
42,47995,49132.38916305468,1137.0,2.3,0.50820565,578.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-navi-matrix-side-kamera-el-electric-black-28306b9d-7e12-4bd4-aaca-7505ce33a078,"Audi Q4 e-tron 45 S-LINE quattro, Navi, Matrix, Side, Kamera, el."
43,34890,35864.45432578937,974.0,2.7,0.5906339,575.0,,Q4 e-tron,26546,37.0,150.0,466,Wismar,AWUS mobile GmbH & Co.KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-53e9f5dc-1f56-499a-a45c-3f5028a5e49a,Audi Q4 e-tron
44,49045,50061.456507716364,1016.0,2.0,0.5557236,565.0,45,Q4 e-tron,10,1.0,210.0,464,Osnabrück,MFH Mehrmarken-Fahrzeughandel / Osna-Autos,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-db50f778-0573-4910-996c-47f7c3c3080e,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat..."
45,38699,39547.30116740607,848.0,2.1,0.6500824,551.0,40,Q4 e-tron,6000,8.0,150.0,402,Hanau,AVEMO Hanau GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-plus-led-kamera-ahk-shz-pdc-electric-white-e1a99760-5eea-48ce-b845-105a4266c165,Audi Q4 e-tron 40*NAVI-PLUS*LED*KAMERA*AHK*SHZ*PDC
46,45652,46541.030456590874,889.0,1.9,0.6187654,550.0,,Q4 e-tron Sportback,0,,150.0,430,Singen,Gohm + Graf Hardenberg GmbH,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-electric-grey-6f261e18-488f-44e8-afe4-c0e41bd5f2af,Audi Q4 e-tron Q4 Sportback e-tron
47,51619,52500.13702033096,881.0,1.7,0.6025561,531.0,45,Q4 e-tron Sportback,5900,8.0,210.0,525,Hanau,AVEMO Hanau GmbH,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-quattro-s-line-navi-plus-electric-grey-97ff53fa-5bb6-4f6c-bd1d-e32f1e858dd1,Audi Q4 e-tron Sportback 45 quattro S-LINE*NAVI-PLUS*
48,49995,50738.992524206915,744.0,1.5,0.6966926,518.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-466edc22-0617-4052-98d8-69e05e95e1b0,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat..."
49,44183,44884.83311817874,702.0,1.6,0.7252043,509.0,45,Q4 e-tron,7067,10.0,210.0,413,Eching,Audi München GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-qu-ahk-20zoll-electric-black-ea39f846-5148-4020-a172-1872f708525e,"Audi Q4 e-tron 45 qu. AHK/20""Zoll"
50,36930,37808.67367284348,879.0,2.3,0.574839,505.0,45,Q4 e-tron,53504,27.0,210.0,456,Ulm,Audi Zentrum Ulm Gebrauchtwagen,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-s-line-45-kam-led-navi-pano-shz-waepu-electric-black-7550ef0b-4e7f-4ae7-aafc-9619e2f5ecc7,Audi Q4 e-tron S-Line 45 KAM LED NAVI+ PANO SHZ WÄPU
51,30890,31544.25982805418,654.0,2.1,0.7519783,492.0,40,Q4 e-tron,47037,36.0,150.0,466,Dresden,VGRDD GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-led-navi-pdc-electric-grey-8487b028-7f9b-48ec-8e06-b1dec3330f79,Audi Q4 e-tron Q4 40 e-tron LED Navi PDC
52,38680,39402.89306743877,723.0,1.8,0.6787117,491.0,45,Q4 e-tron Sportback,18750,24.0,210.0,474,Wolfsburg,Autohaus Wolfsburg-Hotz und Heitmann GmbH & Co.KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-sportback-led-acc-navi-sposi-ahk-electric-blue-eef7a15e-7cf1-4c18-b413-2187ff375d0f,Audi Q4 e-tron Q4 45 e-tron Sportback LED/ACC/Navi/SpoSi/AHK
53,30980,31654.890792679515,675.0,2.1,0.66857,451.0,40,Q4 e-tron Sportback,40677,36.0,150.0,526,Neuss,Gottfried Schultz Automobilhandels SE,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-40-shz-tempo-navi-pdc-electric-grey-823feea5-781e-43a9-ae8d-60c9d0286b54,Audi Q4 e-tron Sportback 40 SHZ TEMPO NAVI PDC
54,33430,33996.61345002253,567.0,1.7,0.793938,450.0,40,Q4 e-tron Sportback,43104,36.0,150.0,479,Hamburg,Audi Hamburg Nord,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-40-e-tron-s-line-navi-kamera-sound-electric-blue-1d1e6bbe-269d-4f63-8caf-bf4d1492d5fa,Audi Q4 e-tron Q4 Sportback 40 e-tron S line Navi Kamera Sound
55,37890,38664.02067534095,774.0,2.0,0.57643306,446.0,40,Q4 e-tron,17000,36.0,150.0,466,Gersthofen,Schwaba Gebrauchtwagenzentrum,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-2x-s-line-electric-white-d4526740-d93e-44dd-bf19-e8508a61b23c,Audi Q4 e-tron 40 2x S line
56,42389,42959.81474308416,571.0,1.3,0.7662342,438.0,45,Q4 e-tron,6681,18.0,210.0,412,Eching,Audi München GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-waermep-leder-kamera-electric-black-dece7bc8-2363-4d25-a36d-c6ef22f382ce,Audi Q4 e-tron 45 Wärmep./Leder/Kamera
57,26839,27670.15679665014,831.0,3.0,0.51161724,425.0,35,Q4 e-tron,30373,38.0,125.0,308,München,Audi München GmbH,Dealer,False,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-35-matrix-sonos-kamera-virtu-electric-blue-ddcfc1e2-cfb3-48e5-a414-f8a8c41c8691,Audi Q4 e-tron 35 Matrix/SONOS/Kamera/Virtu
58,40090,40748.38575654065,658.0,1.6,0.64004576,421.0,,Q4 e-tron,0,,150.0,443,Kassel,Audi Zentrum Kassel GmbH & Co.KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-neubestellung-mj-2027-electric-grey-372ae770-3a9c-4c6b-8b29-99d570b13873,Audi Q4 e-tron NEUBESTELLUNG MJ 2027
59,60520,61169.64470384886,650.0,1.1,0.6341278,412.0,,Q4 e-tron,0,,220.0,519,Regensburg,Audi Zentrum Regensburg,Dealer,False,False,True,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-qu-20-matrix-ahk-acc-360-elheck-electric-black-28d90093-dce6-40e4-938e-3a9665fae577,Audi Q4 e-tron Q4 SUV e-tron qu. 20 Matrix AHK ACC 360 elHeck
60,33290,33925.24871116125,635.0,1.9,0.6412289,407.0,45,Q4 e-tron Sportback,51000,26.0,210.0,475,Sulzbach - Rosenberg,R.S. Automobile GmbH,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-s-line-matrix-ahk-acc-electric-grey-6d58d510-21ce-4633-aea9-abbb3832f80d,Audi Q4 e-tron Sportback 45 S-Line Matrix AHK ACC
61,44980,45706.86989855894,727.0,1.6,0.55278105,402.0,55,Q4 e-tron,38490,25.0,250.0,496,Schwabach,Feser GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-quattro-s-line-ahk-hud-sonos-matrix-electric-blue-a4b11101-0720-4a64-8961-6410eabf484a,Audi Q4 e-tron 55 quattro S line AHK HuD SONOS MATRIX
62,25888,26433.337784219573,545.0,2.1,0.73291004,399.0,35,Q4 e-tron,35700,36.0,125.0,412,Mühlheim a. Main,Autohaus Best GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-35-e-tron-navi-shz-standklima-pdc-electric-black-a44c00ea-9270-4850-a14f-b9e876f5bbc5,"Audi Q4 e-tron Q4 35 e-tron Navi, SHZ, Standklima, PDC"
63,46690,47460.87564450195,771.0,1.6,0.5169405,399.0,40,Q4 e-tron Sportback,6200,8.0,150.0,392,Lübeck,Audi Zentrum Lübeck - Senger Automobile GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-advanced-nav-standklima-kamera-ahk-electric-white-f106cb01-784e-4ee7-b8de-635093748e8b,Audi Q4 e-tron 40 advanced Nav Standklima Kamera AHK
64,44449,45042.660546632105,594.0,1.3,0.6579008,391.0,45,Q4 e-tron,3901,9.0,210.0,456,Eching,Audi München GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-20zoll-navi-electric-blue-e483f7c8-0781-4d6e-88e6-33135e6f5395,"Audi Q4 e-tron 45 S line 20""Zoll/Navi+"
