rank,price_eur,predicted_fair_price,discount_eur,discount_pct,sale_prob_14d,deal_score,model_number_v2,variant,mileage_km,vehicle_age_months,power_kw,electric_range_km,city,seller_name,seller_type,is_s_line,is_quattro,has_matrix,had_accident_clean,listing_url,title
65,34900,35504.15457772811,604.0,1.7,0.62140054,375.0,40,Q4 e-tron,18820,37.0,150.0,466,Berlin,Audi Berlin GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-virtual-pdc-led-navi-sitzhzg-electric-white-6c169381-e298-4fdd-b5c7-a322ec6787ea,Audi Q4 e-tron Q4 40 e-tron VIRTUAL PDC LED NAVI SITZHZG
66,48995,49532.6595764953,538.0,1.1,0.69450307,374.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-black-d6a05295-3b6e-49a1-9bec-2fdb2de2b305,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ..."
67,25990,26558.46330291531,568.0,2.1,0.6507598,370.0,40,Q4 e-tron Sportback,57674,46.0,150.0,452,Ludwigsfelde bei Berlin,autohaus24,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-sportback-accnavisonosled-electric-grey-fa97b2ec-b726-438d-9e20-96d30cbe8cf7,Audi Q4 e-tron Q4 40 e-tron Sportback ACC|Navi|SONOS|LED
68,38880,39484.10168100972,604.0,1.5,0.5886969,356.0,50,Q4 e-tron,45859,37.0,220.0,441,Kaiserslautern,VHG Rittersbacher GmbH,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-50-quattro-s-line-assistenzplus-komfor-electric-black-9846b8cf-3d6b-4111-a1f7-16c9a0782b7a,Audi Q4 e-tron 50 quattro s-line AssistenzPlus+Komfor
69,31730,32417.881163614376,688.0,2.1,0.5128209,353.0,45,Q4 e-tron,49518,37.0,195.0,412,Freiburg im Breisgau,bhg Freiburg,Dealer,False,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-quattro-electric-grey-1110e62a-7324-4bb1-83ba-4a9de7583f4c,Audi Q4 e-tron Q4 45 e-tron quattro
70,49995,50526.14082586982,531.0,1.1,0.65561265,348.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-komfort-sid-electric-grey-6328257b-5769-40a6-85cd-daee57e51f11,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Komfort, Sid"
71,24460,25070.66562238142,611.0,2.4,0.5519044,337.0,35,Q4 e-tron,29689,38.0,125.0,289,Ulm,Audi Zentrum Ulm Gebrauchtwagen,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-35-e-tron-19-led-navi-vorb-pdc-shz-virt-electric-grey-874977be-f331-428f-8d6d-2c581bd5ec10,Audi Q4 e-tron Q4 35 e-tron 19 LED NAVI-VORB. PDC SHZ VIRT.
72,29980,30485.943977550643,506.0,1.7,0.66280675,335.0,40,Q4 e-tron Sportback,39713,33.0,150.0,521,Koblenz,Audi Zentrum Koblenz GW,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-virtual-waermepumpe-gra-pdc-electric-black-7614f5fc-800b-49d2-821f-e5eccac137a0,Audi Q4 e-tron 40 Navi Virtual Wärmepumpe GRA PDC+
73,47995,48618.16344549172,623.0,1.3,0.52274305,326.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-navi-matrix-side-kamera-el-electric-black-70302a7c-6969-4470-96fb-da16b04ba18c,"Audi Q4 e-tron 45 S-LINE quattro, Navi, Matrix, Side, Kamera, el."
74,38880,39461.258600746936,581.0,1.5,0.53040355,308.0,45,Q4 e-tron Sportback,30400,25.0,210.0,510,Nürnberg,Audi Zentrum Nürnberg-Marienberg,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-qu-kamera-navi-led-sportsitze-ahk-electric-grey-0be212e1-83ca-461e-946d-692e98ad0a77,"Audi Q4 e-tron 45 qu Kamera,Navi,LED,Sportsitze,AHK"
75,65982,66501.76699387174,520.0,0.8,0.54124886,281.0,,Q4 e-tron,0,,250.0,511,Singen,Gohm + Graf Hardenberg GmbH,Dealer,False,True,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-quattro-performance-electric-black-e07415a0-9506-40f1-a2b0-c5a08d6c03b2,Audi Q4 e-tron Q4 SUV e-tron quattro performance
76,48470,48981.49907499884,511.0,1.0,0.5494451,281.0,45,Q4 e-tron,7294,15.0,210.0,456,Alsfeld,Deisenroth & Söhne GmbH & Co. KG,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-s-line-45-ahk-nav-sound-20-assist-shz-electric-silver-5b83b4aa-cff7-4bab-b056-596be240b042,"Audi Q4 e-tron S line 45 AHK/Nav/sound/20""/Assist/SHZ"
