mileage_km,vehicle_age_months,power_kw,power_hp,electric_range_km,wltp_consumption_kwh_100km,seller_rating_stars,seller_rating_count,image_count,previous_owner_count,door_count,seat_count,warranty_months,battery_charging_time_min,price_per_kw,price_per_hp,price_per_range_km,mileage_per_month,variant,model_number_v2,seller_type,body_type,exterior_color,paint_type,interior_color,upholstery_material,city,is_conditional_price_clean,available_now_clean,warranty_exists_clean,has_full_service_history_clean,had_accident_clean,is_sportback,is_quattro,is_s_line,has_matrix,has_pano,has_ahk,has_hud,has_acc,has_camera,duplicate_listing_id,seller_has_rating,has_warranty_months,has_battery_info,has_city_range,has_charging_time,price_eur,sold_within_14d,listing_id
69600,43.0,220.0,299.0,513,17.0,,,12,1.0,4.0,5.0,,,117.9090909090909,86.75585284280936,50.565302144249515,1618.6046511627908,Q4 e-tron Sportback,50,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,Cloth,Wackersdorf,False,True,True,True,,True,False,False,False,False,False,False,False,True,False,0,0,1,0,0,25940,1.0,3ae295e3-22b9-466d-a58f-be590ea3afb5
46500,37.0,150.0,204.0,412,,4.5,61.0,15,1.0,5.0,5.0,,,246.53333333333333,181.27450980392157,89.75728155339806,1256.7567567567567,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Full leather,Würzburg,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,1,0,0,0,0,36980,1.0,0fcc5b34-4c64-41fd-9c40-85ec4796bf92
9500,15.0,210.0,286.0,526,16.7,4.5,43.0,15,2.0,5.0,5.0,,,190.23809523809524,139.6853146853147,75.95057034220532,633.3333333333334,Q4 e-tron Sportback,45,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,Cloth,Treuchtlingen,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,1,0,0,0,0,39950,1.0,6518d704-32ab-470b-86c9-89e6abd74b02
31650,37.0,220.0,299.0,434,18.2,4.5,7.0,0,1.0,5.0,,,,176.27272727272728,129.69899665551839,89.35483870967742,855.4054054054054,Q4 e-tron,50,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Other,Cloth,Hechingen,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,1,0,0,0,0,38780,1.0,4b249510-3066-4dd6-a8cd-cdb923fc2894
14235,18.0,210.0,286.0,545,16.2,4.5,369.0,7,1.0,4.0,4.0,12,36,166.42380952380952,122.1993006993007,64.12660550458716,790.8333333333334,Q4 e-tron Sportback,45,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Horn-Bad Meinberg,False,True,True,True,,True,False,False,False,False,False,False,False,True,False,1,1,0,0,1,34949,1.0,763185b7-105d-4975-a263-b9ad4cbf68cf
29270,38.0,220.0,299.0,495,17.6,3.5,2.0,9,1.0,5.0,5.0,12,,204.0,150.10033444816054,90.66666666666667,770.2631578947369,Q4 e-tron,50,Dealer,Coupe,Grey,Metallic,Black,Full leather,Münster,False,True,True,False,,False,True,False,True,True,False,True,True,False,True,1,1,0,0,0,44880,1.0,5a2abfbe-7604-4e6c-9d1f-8c5332cafb07
38524,42.0,150.0,204.0,,,5.0,339.0,20,1.0,5.0,5.0,,,199.06666666666666,146.37254901960785,,917.2380952380952,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Blue,Metallic,Black,Cloth,Marktredwitz,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,29860,1.0,3c47d6cc-43bf-4d36-a2eb-fd986481005e
46690,38.0,150.0,204.0,519,16.9,4.0,184.0,0,1.0,5.0,5.0,,,199.66666666666666,146.81372549019608,57.70712909441233,1228.6842105263158,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Others,Black,Cloth,Düsseldorf,False,True,True,False,,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,29950,1.0,ccdcaf7a-02fa-410c-ab2b-c09bc014851d
29411,19.0,210.0,286.0,475,,4.5,159.0,15,1.0,5.0,5.0,,,220.25714285714287,161.72727272727272,97.37684210526315,1547.9473684210527,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Part leather,Eching,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,46254,1.0,efb019b4-129e-4f42-92b5-c52dbe1c7e62
0,,,,522,17.1,5.0,4.0,11,,,,,,,,118.77394636015326,,Q4 e-tron,,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,,Paderborn,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,62000,1.0,4a6d9a6b-7afd-44be-84c1-eab4a76612cc
