,spearman_corr,abs_corr,non_null_pairs,missing_pct
duration_days,-0.37284380517171545,0.37284380517171545,2516,0.0
price_per_hp,-0.14482812761891173,0.14482812761891173,2513,0.11923688394276628
price_per_kw,-0.14464371156646186,0.14464371156646186,2513,0.11923688394276628
price_per_range_km,-0.1074377808688521,0.1074377808688521,2440,3.0206677265500796
vehicle_age_months,0.09993675706902327,0.09993675706902327,2446,2.7821939586645468
price_eur,-0.09712526267463291,0.09712526267463291,2516,0.0
has_city_range,-0.0880930681350159,0.0880930681350159,2516,0.0
mileage_km,0.056037144275808685,0.056037144275808685,2513,0.11923688394276628
warranty_months,-0.04480878764765975,0.04480878764765975,604,75.99364069952306
has_warranty_months,-0.03794219793707968,0.03794219793707968,2516,0.0
door_count,-0.037393759905714696,0.037393759905714696,2449,2.662957074721781
seller_has_rating,0.032080585754566036,0.032080585754566036,2516,0.0
seller_rating_count,0.031939627730170124,0.031939627730170124,2329,7.4324324324324325
has_full_service_history_clean,-0.029538782889031143,0.029538782889031143,2478,1.5103338632750398
is_conditional_price_clean,-0.028539610835644137,0.028539610835644137,2516,0.0
