listing_id,title,listing_url,status,price_eur,segment_median_price,discount_vs_segment_median_pct,segment_sold_rate,eda_deal_score,model_number,variant,mileage_km,vehicle_age_months,power_kw,electric_range_km,city,seller_name
e43cc53b-de1f-4038-b9c9-5745666cf597,Audi Q4 e-tron,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-black-e43cc53b-de1f-4038-b9c9-5745666cf597,sold_or_removed,24770,30850.0,19.708265802269043,0.5,9.854132901134522,,Q4 e-tron,34481.0,37.0,150.0,412.0,Menden,AVG ROSIER GmbH
e918d824-d3b4-45b3-b0cf-f318122667f5,Audi Q4 e-tron,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-black-e918d824-d3b4-45b3-b0cf-f318122667f5,sold_or_removed,24770,30850.0,19.708265802269043,0.5,9.854132901134522,,Q4 e-tron,34481.0,37.0,150.0,412.0,Menden,AVG ROSIER GmbH
e1393477-9e7b-489a-8352-f0485b167cc8,Audi Q4 e-tron,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-blue-e1393477-9e7b-489a-8352-f0485b167cc8,sold_or_removed,40840,48980.0,16.61902817476521,0.5909090909090909,9.820334830543079,,Q4 e-tron,13176.0,18.0,210.0,547.0,Ursensollen,Fischer Automobile GmbH & Co. KG
6c76428a-b045-47a8-963b-a921059770cc,Audi Q4 e-tron Q4 e-tron 50 Sportback quattro,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-e-tron-50-sportback-quattro-electric-silver-6c76428a-b045-47a8-963b-a921059770cc,still_listed_at_last_scrape,22900,31880.0,28.16813048933501,0.34782608695652173,9.79761060498609,50.0,Q4 e-tron Sportback,154500.0,51.0,220.0,408.0,Hetzerath,
6518d704-32ab-470b-86c9-89e6abd74b02,Audi Q4 e-tron Sportback 45 qu advanced BLACK LED 19 KAMERA ACC V,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-qu-advanced-black-led-19-kamera-acc-v-electric-white-6518d704-32ab-470b-86c9-89e6abd74b02,sold_or_removed,39950,46785.0,14.609383349364114,0.6666666666666666,9.739588899576075,45.0,Q4 e-tron Sportback,9500.0,15.0,210.0,526.0,Treuchtlingen,Auto Bierschneider GmbH
90ea76a3-322f-429e-be16-67c0661a33d2,Audi Q4 e-tron Sportback 40 MATRIX+ACC+RFK+NAVI+HUD+SHZ+CARPLAY+D,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-40-matrix-acc-rfk-navi-hud-shz-carplay-d-electric-grey-90ea76a3-322f-429e-be16-67c0661a33d2,sold_or_removed,27490,32480.0,15.363300492610838,0.6296296296296297,9.673189199051269,40.0,Q4 e-tron Sportback,51400.0,39.0,70.0,528.0,Köln (Raderberg),Audi Zentrum Köln
af1134fb-c3e3-4545-aa61-7dca4f29fc82,Audi Q4 e-tron Sportback 45 advanced LED 19 KAMERA S-SITZE PDC DA,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-advanced-led-19-kamera-s-sitze-pdc-da-electric-black-af1134fb-c3e3-4545-aa61-7dca4f29fc82,still_listed_at_last_scrape,39250,45990.0,14.655359860839312,0.6521739130434783,9.5578433875039,45.0,Q4 e-tron Sportback,2155.0,16.0,210.0,547.0,Treuchtlingen,Auto Bierschneider GmbH
94b52254-805c-43e5-8434-bcabf9aa4d8a,"Audi Q4 e-tron 40 Sportback 299,-ohne Anzahlung Navi Kamera",https://www.autoscout24.com/offers/audi-q4-e-tron-40-sportback-299-ohne-anzahlung-navi-kamera-electric-blue-94b52254-805c-43e5-8434-bcabf9aa4d8a,sold_or_removed,28929,34840.0,16.96613088404133,0.5555555555555556,9.42562826891185,40.0,Q4 e-tron Sportback,32510.0,32.0,150.0,510.0,Detmold,Kurt Stricker GmbH & Co. KG
ea760f56-28db-4369-a524-d0eacd96a23c,Audi Q4 e-tron 40 Navi Standklima HuD Wärmepumpe LED,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-standklima-hud-waermepumpe-led-electric-black-ea760f56-28db-4369-a524-d0eacd96a23c,sold_or_removed,28950,34840.0,16.905855338691158,0.5555555555555556,9.392141854828422,40.0,Q4 e-tron Sportback,34600.0,35.0,150.0,521.0,Lübeck,Audi Zentrum Lübeck - Senger Automobile GmbH
a764e8ff-1fba-459f-a5eb-5815ca1fe120,"Audi Q4 e-tron 40 Sport RFK ACC KeyLess 19""Ambiente",https://www.autoscout24.com/offers/audi-q4-e-tron-40-sport-rfk-acc-keyless-19ambiente-electric-gasoline-grey-a764e8ff-1fba-459f-a5eb-5815ca1fe120,still_listed_at_last_scrape,24900,28880.0,13.781163434903046,0.6727272727272727,9.27096449257114,40.0,Q4 e-tron Sportback,109000.0,41.0,150.0,530.0,Ichenhausen,Autohaus Best
