,spearman_corr,abs_corr,non_null_pairs,missing_pct
price_per_hp,-0.12643656851374957,0.12643656851374957,1953,0.0511770726714432
battery_charging_time_min,-0.1263393493124262,0.1263393493124262,114,94.16581371545547
price_per_kw,-0.1261223353941867,0.1261223353941867,1953,0.0511770726714432
has_city_range,-0.08600338282353387,0.08600338282353387,1954,0.0
price_eur,-0.0604068810218068,0.0604068810218068,1954,0.0
price_per_range_km,-0.05741787693272878,0.05741787693272878,1882,3.68474923234391
previous_owner_count,-0.056389794541354225,0.056389794541354225,1859,4.861821903787104
has_acc,-0.04868118822418096,0.04868118822418096,1954,0.0
has_charging_time,-0.04829018817908026,0.04829018817908026,1954,0.0
power_hp,0.047375651331835876,0.047375651331835876,1953,0.0511770726714432
power_kw,0.047375651331835876,0.047375651331835876,1953,0.0511770726714432
has_warranty_months,-0.042280013818054386,0.042280013818054386,1954,0.0
door_count,-0.04159369040954141,0.04159369040954141,1890,3.2753326509723646
has_battery_info,-0.04155360786246832,0.04155360786246832,1954,0.0
mileage_per_month,-0.03735657425419744,0.03735657425419744,1923,1.586489252814739
