,spearman_corr,abs_corr,non_null_pairs,missing_pct
vehicle_age_months,-0.7949381254187768,0.7949381254187768,2446,2.7821939586645468
mileage_km,-0.7701275962972864,0.7701275962972864,2513,0.11923688394276628
warranty_months,0.6563913482522321,0.6563913482522321,604,75.99364069952306
power_kw,0.6376275841718021,0.6376275841718021,2513,0.11923688394276628
power_hp,0.6376275841718021,0.6376275841718021,2513,0.11923688394276628
electric_range_km,0.38760650476380976,0.38760650476380976,2439,3.0604133545310015
mileage_per_month,-0.3612111394876718,0.3612111394876718,2445,2.821939586645469
has_ahk,0.2519953198467994,0.2519953198467994,2516,0.0
is_s_line,0.17959799921681138,0.17959799921681138,2516,0.0
is_quattro,0.17052681169793865,0.17052681169793865,2516,0.0
has_matrix,0.15879043165090564,0.15879043165090564,2516,0.0
has_camera,-0.1567065085543989,0.1567065085543989,2516,0.0
wltp_consumption_kwh_100km,-0.1442374502764697,0.1442374502764697,1008,59.93640699523053
door_count,0.14169846952289417,0.14169846952289417,2449,2.662957074721781
has_acc,-0.11751325531737165,0.11751325531737165,2516,0.0
